127.0.0.1 - - [05/Jun/2026:13:16:35 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:16:39 +0900] "GET /hello/ HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:16:45 +0900] "GET /hello/join HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:17:03 +0900] "POST /hello/register HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:20:05 +0900] "POST /hello/register HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:20:05 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:20:07 +0900] "GET /hello/join HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:23:46 +0900] "GET /hello/join HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:23:46 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:24:09 +0900] "POST /hello/register HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:25:24 +0900] "POST /hello/register HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:25:24 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:28:19 +0900] "POST /hello/register HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:28:19 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:28:22 +0900] "GET /hello/join HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [05/Jun/2026:13:28:38 +0900] "POST /hello/register HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [05/Jun/2026:14:18:21 +0900] "GET /hello/join HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [05/Jun/2026:14:19:16 +0900] "POST /hello/register HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Jun/2026:14:29:33 +0900] "GET /hello/join HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [05/Jun/2026:14:29:45 +0900] "POST /hello/register HTTP/1.1" 200 711
